URL,Title,Author,Number of reviews,Number of ratings,Average rating,Pages,Publish year,Series,Genres,Awards,Places,minmax_norm_ratings,mean_norm_ratings
https://www.goodreads.com//book/show/5886881-dark-places,Dark Places,Gillian Flynn,36071,595317,3.93,349,2009,0,"Mystery, Fiction, Thriller",2.0,"Kinnakee, Kansas, Kansas City, Missouri",6.79,0.97
https://www.goodreads.com//book/show/41070.The_Shockwave_Rider,The Shockwave Rider,John Brunner,208,3671,3.95,288,1995,0,"Science Fiction, Fiction, Science Fiction",2.0,,6.85,1.03
https://www.goodreads.com//book/show/13170596-fragments,Fragments,Dan Wells,1878,24533,4.11,576,2013,1,"Young Adult, Science Fiction, Dystopia",,,7.33,1.51
https://www.goodreads.com//book/show/28294.A_Void,A Void,Georges Perec,314,2779,3.79,284,2005,0,"Fiction, Cultural, France",1.0,Paris,6.37,0.55
https://www.goodreads.com//book/show/17607716-ruins,Ruins,Dan Wells,1425,15265,4.05,464,2014,1,"Young Adult, Science Fiction, Dystopia",,,7.15,1.33
https://www.goodreads.com//book/show/1349956.The_Velveteen_Rabbit,The Velveteen Rabbit,Margery Williams Bianco,3644,227334,4.28,48,1995,0,"Classics, Childrens, Fiction",1.0,,7.84,2.02
https://www.goodreads.com//book/show/10084.River_of_Blue_Fire,River of Blue Fire,Tad Williams,284,14864,4.02,675,1999,1,"Fantasy, Science Fiction, Fiction",,,7.06,1.24
https://www.goodreads.com//book/show/116256.Patternmaster,Patternmaster,Octavia E. Butler,426,5904,4.01,202,1995,1,"Science Fiction, Fiction, Fantasy",,,7.03,1.21
https://www.goodreads.com//book/show/16271.The_Intuitionist,The Intuitionist,Colson Whitehead,1220,10072,3.67,255,1999,0,"Fiction, Science Fiction, Mystery",,United States of America,6.01,0.19
https://www.goodreads.com//book/show/9917879-the-unwanteds,The Unwanteds,Lisa McMann,3087,30087,4.11,390,2011,1,"Fantasy, Childrens, Middle Grade",4.0,,7.33,1.51
https://www.goodreads.com//book/show/30561.Ape_and_Essence,Ape and Essence,Aldous Huxley,315,4887,3.77,222,1992,0,"Fiction, Science Fiction, Science Fiction",1.0,"Los Angeles, California",6.31,0.49
https://www.goodreads.com//book/show/6393972-this-world-we-live-in,This World We Live In,Susan Beth Pfeffer,2698,29550,3.8,256,2010,1,"Young Adult, Science Fiction, Dystopia",,Pennsylvania,6.4,0.58
https://www.goodreads.com//book/show/10626594-the-scorpio-races,The Scorpio Races,Maggie Stiefvater,13072,102004,4.07,409,2011,0,"Fantasy, Young Adult, Romance",8.0,Thisby,7.21,1.39
https://www.goodreads.com//book/show/2325390.The_Wasteland_Prufrock_and_Other_Poems,"The Wasteland, Prufrock and Other Poems",T.S. Eliot,322,10294,4.18,88,2008,0,"Poetry, Classics, Literature",,,7.54,1.72
https://www.goodreads.com//book/show/33160796-the-end-of-the-world-running-club,The End of the World Running Club,Adrian J. Walker,1299,11307,3.82,456,2017,1,"Fiction, Science Fiction, Apocalyptic",,,6.46,0.64
https://www.goodreads.com//book/show/6325690-raiders-ransom,Raiders' Ransom,Emily Diamand,192,1167,3.63,334,2009,1,"Fantasy, Science Fiction, Young Adult",,England,5.89,0.07
https://www.goodreads.com//book/show/990093.Ethan_of_Athos,Ethan of Athos,Lois McMaster Bujold,619,13559,3.79,237,1986,1,"Science Fiction, Fiction, Space",,,6.37,0.55
https://www.goodreads.com//book/show/294460.Plague_Year,Plague Year,Jeff  Carlson,193,2559,3.41,304,2007,1,"Science Fiction, Fiction, Apocalyptic",,,5.23,-0.59
https://www.goodreads.com//book/show/11016305-stockholm,Stockholm,Kian Kaul,12,34,3.79,460,2011,0,"Fiction, Contemporary",,,6.37,0.55
https://www.goodreads.com//book/show/10432883-germline,Germline,T.C. McCarthy,146,1059,3.53,384,2011,1,"Science Fiction, War, Military Fiction",1.0,,5.59,-0.23
https://www.goodreads.com//book/show/12843217-and-the-seas-shall-turn-to-lemonade,And the seas shall turn to lemonade,Sandra Nicholls,10,22,4.14,234,2012,0,"Cultural, Canada, Humor",,,7.42,1.6
https://www.goodreads.com//book/show/16040250-the-fallen,The Fallen,Jack Ziebell,22,93,3.4,200,2012,0,"Horror, Zombies, Science Fiction",,,5.2,-0.62
https://www.goodreads.com//book/show/17856436-belligerent,Belligerent,B.N. Mauldin,22,127,4.23,226,2013,1,"Science Fiction, Dystopia, Young Adult",,,7.69,1.87
